Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Adversário,Pontuação,Status_ID,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
2,93882,Cleiton,RBB,Goleiro,visitante,FLU,0.6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
2,94044,John,BOT,Goleiro,mandante,JUV,8.9,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
2,94067,Matheus Fernandes,RBB,Meia,visitante,FLU,1.7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,94154,Maycon,COR,Meia,mandante,VAS,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,94156,Diego Pituca,SAN,Meia,mandante,BAH,7.8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,94207,Guilherme,SAN,Atacante,mandante,BAH,7.5,0,1,1,0,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,94444,Matheus Babi,JUV,Atacante,visitante,BOT,-0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,94509,Raphael Veiga,PAL,Meia,visitante,SPT,1.9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,94968,Juninho Capixaba,RBB,Lateral,visitante,FLU,9.4,0,0,3,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,95127,Nicolas,CEA,Lateral,mandante,GRE,6.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,95131,Gabriel Taliari,JUV,Atacante,visitante,BOT,6.8,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
2,95354,Giraldo,JUV,Meia,visitante,BOT,0.4,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,95357,Rivera,SPT,Meia,mandante,PAL,3.1,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,95464,Gregore,BOT,Meia,mandante,JUV,0.2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,95556,Raniele,COR,Meia,mandante,VAS,0.4,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,95799,Artur,BOT,Atacante,mandante,JUV,12.7,0,0,3,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,96340,Lima,FLU,Meia,mandante,RBB,9.0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,96725,Saravia,CAM,Lateral,mandante,SAO,6.2,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,97145,Villasanti,GRE,Meia,visitante,CEA,5.0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
